diff_temp, diff_vazao, out_hot, out_cold
-8.163460698479053,-0.07669676323613683,0.432,0.432
-8.158153829832685,-0.07695229803164871,0.433,0.433
-8.15287442269716,-0.07719818061103323,0.433,0.433
-8.147634595714596,-0.0774430685166666,0.433,0.433
-8.142434084786295,-0.07768696524625596,0.433,0.433
-8.137272627201188,-0.07792987428932285,0.433,0.433
-8.132149961632773,-0.07817179912719163,0.433,0.433
-8.127065828136075,-0.07841274323297565,0.433,0.433
-8.122019968144468,-0.07865271007156582,0.433,0.433
-8.117012124466534,-0.0788917030996178,0.433,0.433
-8.112042041282837,-0.07912972576554067,0.433,0.433
-8.107109464142663,-0.07936678150948506,0.433,0.433
-8.102214139960719,-0.07960287376333275,0.433,0.433
-8.097355817013796,-0.07983800595068447,0.433,0.433
-8.09253424493738,-0.08007218148685069,0.433,0.433
-8.087749174722216,-0.08030540377884021,0.433,0.433
-8.083000358710862,-0.08053767622535069,0.433,0.433
-8.078287550594187,-0.08076900221675876,0.433,0.433
-8.073610505407814,-0.08099938513511074,0.433,0.433
-8.068968979528549,-0.08122882835411271,0.433,0.433
-8.064362730670794,-0.08145733523912257,0.433,0.433
-8.059791517882847,-0.081684909147141,0.433,0.433
-8.055255101543242,-0.08191155342680256,0.433,0.433
-8.050753243357054,-0.08213727141836835,0.433,0.433
-8.04628570635209,-0.08236206645371813,0.433,0.433
-8.041852254875153,-0.08258594185634238,0.433,0.433
-8.03745265458818,-0.08280890094133497,0.434,0.434
-8.03307667146224,-0.0830222708231576,0.434,0.434
-8.028734314268732,-0.0832347645354986,0.434,0.434
-8.024425348662348,-0.08344638527161252,0.434,0.434
-8.020149541649086,-0.08365713621634352,0.434,0.434
-8.015906661581685,-0.08386702054612039,0.434,0.434
-8.011696478155116,-0.08407604142895408,0.434,0.434
-8.007518762401983,-0.08428420202443465,0.434,0.434
-8.003373286687939,-0.08449150548372797,0.434,0.434
-7.999259824707053,-0.08469795494957422,0.434,0.434
-7.995178151477184,-0.08490355355628432,0.434,0.434
-7.9911280433353085,-0.08510830442973882,0.434,0.434
-7.987109277932831,-0.08531221068738581,0.434,0.434
-7.9831216342308835,-0.085515275438239,0.434,0.434
-7.9791648924955965,-0.08571750178287674,0.434,0.434
-7.975238834293357,-0.08591889281344078,0.434,0.434
-7.971343242486043,-0.08611945161363521,0.434,0.434
-7.967477901226246,-0.08631918125872562,0.434,0.434
-7.963642595952443,-0.08651808481553935,0.434,0.434
-7.959837113384239,-0.08671616534246418,0.434,0.434
-7.956061241517467,-0.08691342588944928,0.434,0.434
-7.9523147696193845,-0.08710986949800426,0.434,0.434
-7.94859748822379,-0.08730549920120101,0.434,0.434
-7.94490918912615,-0.08750031802367264,0.434,0.434
-7.941249665378685,-0.087694328981616,0.434,0.434
-7.937618711285488,-0.08788753508279112,0.434,0.434
-7.934016122397587,-0.08807993932652369,0.434,0.434
